Period,OTP,Ctl OTP,TTL FLT,DLY FLT,DLY PAX,DLY Cnt,AF,AT,AX,AG,GB,CD,TC,AZ,FZ,MX,RA,GF,TZ,TN,RL,FL,PW,PS,RZ,PL,PH,SG,PB,DG,EZ,FR,WZ,PZ,GZ,FF,WG,AE,GD,AS,AM,CI,WO,DF,PD,GT,TD
2023-05-08,47.83,100.0,23,12,2253,16.0,9.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
2023-05-09,90.48,100.0,21,2,446,5.0,2.0,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-10,82.61,100.0,23,4,809,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-11,77.27,100.0,22,5,1162,9.0,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-12,95.83,100.0,24,1,270,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-13,77.27,100.0,22,5,867,9.0,5.0,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-14,100.0,100.0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-15,82.61,100.0,23,4,753,7.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-16,90.48,100.0,21,2,361,4.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-17,86.96,100.0,23,3,259,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-18,72.73,100.0,22,6,1131,8.0,3.0,3.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,
2023-05-19,47.83,100.0,23,12,2246,20.0,10.0,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
2023-05-20,63.64,100.0,22,8,1376,16.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-21,68.18,100.0,22,7,1420,8.0,6.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-22,39.13,100.0,23,14,2592,19.0,10.0,6.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
2023-05-23,85.0,100.0,20,3,533,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-24,100.0,100.0,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-25,72.73,100.0,22,6,946,11.0,6.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-26,83.33,100.0,24,4,662,5.0,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-27,95.24,100.0,21,1,267,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-28,95.45,100.0,22,1,224,3.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-29,86.96,100.0,23,3,505,5.0,1.0,2.0,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-30,85.0,100.0,20,3,440,4.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05-31,69.57,100.0,23,7,993,11.0,6.0,4.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2023-06-01,90.48,100.0,21,2,320,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-02,70.83,100.0,24,7,1219,9.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
2023-06-03,59.09,100.0,22,9,1662,13.0,9.0,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-04,78.26,100.0,23,5,1159,6.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-06-05,73.91,100.0,23,6,1044,10.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
2023-06-06,81.82,100.0,22,4,610,6.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
2023-06-07,78.26,100.0,23,5,974,7.0,4.0,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-08,63.64,100.0,22,8,1219,14.0,8.0,4.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-09,66.67,100.0,24,8,1438,13.0,5.0,3.0,,,,,,,,,2.0,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
2023-06-10,77.27,100.0,22,5,989,8.0,5.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-06-11,91.3,100.0,23,2,365,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-12,81.82,100.0,22,4,671,5.0,2.0,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-06-13,72.73,100.0,22,6,1283,13.0,4.0,5.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2023-06-14,91.3,100.0,23,2,546,3.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-15,61.9,100.0,21,8,1576,11.0,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06-16,82.61,100.0,23,4,903,8.0,2.0,3.0,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2023-06-17,72.73,100.0,22,6,1323,12.0,6.0,5.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
